1 , -0.0156 , 5.0159 , 8.0565 , -0.3550 , 5.8836 , 7.8375 , -0.1087 , -0.1960 , -0.3782 , 0.1994 , -0.2920 , -1.1062 , -0.8326 , -36.8673 , -2.5937 , 36.9584
1 , -0.0239 , 6.1375 , 8.0517 , -1.5589 , 3.4202 , 9.0577 , 0.3270 , 0.4655 , 0.4336 , 0.8323 , 1.4568 , 0.5131 , -0.9804 , -20.4118 , -9.7654 , 22.6275
1 , -0.0527 , 7.4005 , 6.3949 , 1.7234 , 7.1039 , 6.5372 , -0.2798 , 0.4013 , 0.2205 , -1.7760 , 0.2965 , -0.1422 , -0.8779 , -46.4190 , 14.7687 , 48.7118
1 , -0.5100 , 6.6954 , 6.5362 , -0.5801 , 5.5551 , 8.0607 , -0.4836 , 0.4325 , 0.5902 , -0.5619 , -0.9942 , 3.6769 , -0.9100 , -34.5040 , -4.1162 , 34.7487
1 , -0.5148 , 6.4081 , 9.6127 , 0.9200 , 6.9901 , 6.8164 , 0.0629 , -0.1704 , 0.5859 , -2.3458 , 0.5301 , -7.9536 , -0.6757 , -45.4622 , 7.6869 , 46.1075
2 , -0.2227 , 5.1655 , 9.5277 , 1.5136 , 2.9404 , 9.2322 , -0.1630 , 0.0415 , 0.0767 , -1.5207 , 2.0024 , 0.4140 , -0.6860 , -17.4480 , 9.3105 , 19.7767
2 , -0.2322 , 3.2549 , 8.8418 , -0.6879 , 3.3513 , 9.1905 , -0.1019 , -0.0515 , -0.0673 , 0.4556 , -0.0964 , -0.3488 , 0.8930 , -19.9828 , -4.2804 , 20.4361
2 , -0.6009 , 4.9596 , 8.2648 , -1.0292 , 4.7409 , 8.5226 , -0.4923 , -0.0668 , -0.2268 , 0.4282 , 0.2187 , -0.2578 , 0.8262 , -28.9101 , -6.8855 , 29.7188
2 , -0.2346 , 5.3259 , 9.3733 , -0.2523 , 7.3741 , 6.4598 , -0.3345 , 0.1321 , 0.1768 , 0.2283 , -2.7796 , 2.7411 , -0.9106 , -48.7594 , -2.2363 , 48.8107
2 , -0.2454 , 3.9648 , 9.0656 , -0.5014 , 3.7646 , 9.0414 , -0.3145 , 0.0200 , -0.0288 , 0.2560 , 0.2002 , 0.0242 , 0.8622 , -22.5741 , -3.1741 , 22.7962
3 , -0.7279 , 5.2412 , 7.9883 , -1.0246 , 5.3686 , 8.1424 , 0.0279 , 0.0246 , 0.0260 , 0.0063 , -0.0410 , 0.1147 , -0.7511 , -33.3982 , -5.9971 , 33.9323
3 , -0.7302 , 2.5091 , 8.3821 , -2.6397 , 2.5565 , 9.0921 , -0.8485 , -0.2388 , 0.2627 , 1.9094 , -0.0474 , -0.7100 , -0.8015 , -15.1111 , -16.1892 , 22.1458
3 , -0.7321 , 5.3448 , 6.5649 , -1.2243 , 5.9813 , 7.6744 , 0.2544 , 0.0819 , -0.0074 , 0.3379 , -0.2531 , 0.0635 , -0.7585 , -37.9323 , -7.1717 , 38.6043
3 , -0.7350 , 3.9625 , 8.4638 , -0.4555 , 3.9298 , 8.9733 , 0.1758 , 0.6585 , -0.0231 , 0.1586 , 0.2530 , -1.5055 , 0.5197 , -23.6235 , -2.9057 , 23.8016
3 , -0.7554 , 6.9336 , 9.8198 , -0.7744 , 6.3989 , 7.3909 , 0.1925 , 0.0224 , 0.0164 , 0.0191 , 0.5348 , 2.4289 , 0.8190 , -40.7305 , -5.9819 , 41.1674
4 , -1.1493 , 3.4238 , 7.8460 , -1.4586 , 4.0051 , 8.8319 , 0.6907 , 0.7947 , 0.2054 , 1.3413 , 0.2447 , 1.3055 , 0.5101 , -24.1049 , -9.3777 , 25.8648
4 , -1.1708 , 3.4105 , 7.4579 , -1.5022 , 2.5324 , 9.3542 , -0.4202 , -0.1328 , -0.2903 , 0.3315 , 0.8782 , -1.8962 , 0.8425 , -14.9650 , -9.1235 , 17.5268
4 , -1.1720 , 6.0358 , 6.7026 , 0.0829 , 7.3525 , 6.4888 , -0.0064 , 0.1449 , 0.0202 , -0.2289 , -1.7022 , 2.1591 , -0.7035 , -48.5684 , 0.7317 , 48.5739
4 , -1.1815 , 4.0247 , 8.4898 , -0.0057 , 7.1061 , 6.7582 , -0.1044 , 0.2812 , 0.1214 , -0.0961 , -2.1418 , 1.8107 , 0.9176 , -46.4376 , -0.0481 , 46.4376
4 , -1.1875 , 3.3974 , 8.4096 , -1.1020 , 3.1446 , 9.2232 , -0.0800 , 0.0963 , 0.1501 , -0.0855 , 0.2528 , -0.8136 , 0.8921 , -18.7029 , -6.8136 , 19.9054
5 , -0.7578 , 5.8826 , 8.5102 , -2.2987 , 5.5299 , 7.7657 , -0.4877 , -0.1488 , 0.1066 , 1.5409 , 0.3526 , 0.7445 , -0.9448 , -34.3256 , -16.4888 , 38.0805
5 , -0.7649 , 3.8128 , 9.2524 , -0.3503 , 3.9767 , 8.9573 , -0.5192 , 0.6375 , 0.0127 , -0.4146 , -0.1640 , 0.2951 , 0.8159 , -23.9234 , -2.2398 , 24.0281
5 , -0.7805 , 2.8323 , 8.7508 , -1.2383 , 2.5810 , 9.3795 , -0.1277 , -0.0458 , 0.0531 , 0.4578 , 0.2513 , -0.6287 , -0.7588 , -15.2596 , -7.5209 , 17.0123
5 , -0.7877 , 2.1093 , 11.4718 , -0.6519 , 2.4997 , 9.4603 , -0.2095 , 0.0664 , -0.0704 , -0.1358 , -0.3905 , 2.0116 , 0.8117 , -14.7678 , -3.9422 , 15.2850
5 , -0.7997 , 2.4086 , 9.2392 , -1.0630 , 2.0742 , 9.5257 , -0.4856 , 0.0474 , 0.0090 , 0.2633 , 0.3343 , -0.2864 , 0.8306 , -12.2110 , -6.3674 , 13.7714
6 , -0.9014 , 2.5187 , 9.2847 , -0.9808 , 3.1580 , 9.2323 , -0.1551 , 0.0981 , 0.0084 , 0.0793 , -0.6393 , 0.0524 , 0.8995 , -18.7855 , -6.0638 , 19.7399
6 , -0.9349 , 5.5019 , 7.4759 , -0.8488 , 4.9730 , 8.4094 , -0.3139 , -0.0442 , 0.0536 , -0.0861 , 0.5288 , -0.9335 , 0.8653 , -30.4715 , -5.7636 , 31.0118
6 , -0.9409 , 3.3041 , 9.9291 , -0.8477 , 3.0040 , 9.2966 , -0.1614 , 0.2052 , 0.3031 , 0.6705 , -0.4398 , 0.7713 , 0.5134 , -17.8381 , -5.2102 , 18.5834
6 , -0.9577 , 2.1979 , 9.4978 , -1.3966 , 2.2982 , 9.4307 , 0.3183 , 0.1888 , 0.2950 , 0.4389 , -0.1003 , 0.0671 , -0.8040 , -13.5531 , -8.4236 , 15.9576
6 , -0.9697 , 1.2043 , 10.3022 , -1.1391 , 1.2801 , 9.6558 , 0.2853 , 0.3054 , 0.0079 , 0.1695 , -0.0758 , 0.6465 , -0.8250 , -7.5003 , -6.7283 , 10.0760
7 , -0.9230 , 3.2226 , 9.7037 , -1.0933 , 3.0127 , 9.2681 , -0.4508 , 0.0780 , -0.0600 , 0.1703 , 0.2099 , 0.4356 , 0.8450 , -17.8914 , -6.7278 , 19.1146
7 , -0.9230 , 5.4360 , 9.6307 , -0.9513 , 5.1049 , 8.3190 , -0.0085 , -0.1427 , -0.3686 , 0.6268 , 0.1528 , 0.0212 , -0.9593 , -31.3695 , -6.5233 , 32.0406
7 , -0.9266 , 6.3868 , 8.2523 , -0.8672 , 6.4917 , 7.2991 , 0.0867 , 0.1319 , -0.0157 , 0.3288 , -0.0939 , 0.0123 , -0.7237 , -41.6492 , -5.0733 , 41.9570
7 , -0.9469 , 3.0777 , 10.4483 , 0.8293 , 3.6513 , 9.0637 , -0.8884 , 0.0916 , -0.3952 , 0.4408 , 2.9663 , 0.6268 , -0.9751 , -21.8590 , 5.2278 , 22.4755
7 , -0.9768 , 2.5738 , 8.3294 , -1.7800 , 2.0984 , 9.4127 , -0.1655 , -0.0715 , 0.1136 , 0.8032 , 0.4753 , -1.0832 , -0.7601 , -12.3557 , -10.7088 , 16.3506
8 , -0.6416 , 5.0589 , 9.5146 , -1.4648 , 5.4424 , 8.0253 , 0.2258 , 0.5237 , -0.1207 , 0.8231 , -0.3834 , 1.4893 , -0.9524 , -33.7086 , -10.3436 , 35.2599
8 , -0.6428 , 4.1755 , 7.1431 , -0.8267 , 3.9025 , 8.9587 , -0.5888 , 0.1391 , -0.1370 , 0.1839 , 0.2730 , -1.8156 , 0.8415 , -23.4496 , -5.2723 , 24.0350
8 , -0.6584 , 3.6800 , 8.9019 , -0.6680 , 3.4977 , 9.1373 , -0.1264 , -0.1114 , 0.0227 , 0.0096 , 0.1823 , -0.2354 , 0.7753 , -20.8956 , -4.1814 , 21.3099
8 , -0.6632 , 1.2103 , 9.9611 , -0.2239 , 2.2234 , 9.5486 , -0.3451 , 0.7591 , 0.0267 , -0.4393 , -1.0132 , 0.4124 , 0.7859 , -13.1045 , -1.3435 , 13.1732
8 , -0.6632 , 3.4502 , 9.1006 , -1.2706 , 3.5813 , 9.0405 , 0.1574 , -0.6683 , -0.3230 , -0.4509 , 0.4434 , 0.2876 , 0.4667 , -21.4196 , -8.0002 , 22.8649
9 , -1.0846 , 1.4174 , 8.6457 , -1.1472 , 1.0297 , 9.6847 , -0.3677 , -0.2122 , 0.1192 , 0.0626 , 0.3877 , -1.0390 , 0.9315 , -6.0271 , -6.7557 , 9.0535
9 , -1.0918 , 4.6880 , 8.7870 , -0.5323 , 4.7409 , 8.5680 , -0.4272 , 0.0037 , -0.0598 , 1.1429 , -0.5844 , 0.9157 , 0.6127 , -28.9101 , -3.5553 , 29.1279
9 , -1.0966 , 4.8723 , 7.8484 , -0.6756 , 5.1169 , 8.3385 , 0.0267 , -0.5974 , 0.1577 , 1.2359 , 0.5096 , -0.2243 , 0.6840 , -31.4518 , -4.6323 , 31.7911
9 , -1.1014 , 6.7035 , 7.3413 , 0.0993 , 5.3901 , 8.1919 , -0.5144 , -0.6394 , -0.1050 , -0.2600 , 0.3095 , -0.1833 , -0.7672 , -33.3443 , 0.5802 , 33.3493
9 , -1.1205 , 2.5068 , 9.3209 , -0.4975 , 2.6326 , 9.4336 , -0.4974 , 0.0507 , 0.1461 , -0.6230 , -0.1258 , -0.1127 , 0.4623 , -15.5723 , -3.0189 , 15.8622
0 , -0.0060 , 2.2553 , 9.3841 , 0.0206 , 2.4164 , 9.5043 , -0.3341 , 0.0694 , 0.2259 , -0.0266 , -0.1610 , -0.1202 , 0.8326 , -14.2646 , 0.1242 , 14.2651
0 , -0.0114 , 5.2867 , 7.5502 , -0.9917 , 5.7758 , 7.8630 , -0.5788 , -0.6416 , -0.4272 , 0.4552 , 0.1562 , -0.2030 , -0.7691 , -36.2992 , -5.8039 , 36.7603
0 , -0.0144 , 3.1916 , 9.2970 , -0.8505 , 2.7237 , 9.3824 , 0.0298 , -0.0800 , -0.5943 , 0.8361 , 0.4679 , -0.0854 , 0.7411 , -16.1254 , -5.1794 , 16.9368
0 , -0.0168 , 1.0846 , 10.6737 , -0.3483 , 1.5658 , 9.6746 , 0.1925 , 0.5465 , 0.2072 , 0.3316 , -0.4812 , 0.9991 , 0.7189 , -9.1873 , -2.0620 , 9.4159
0 , -0.0263 , 2.1237 , 10.4726 , 0.1946 , 2.8656 , 9.3766 , 0.3572 , -0.2676 , -0.5020 , -0.3095 , 2.0307 , -0.1084 , 0.6567 , -16.9904 , 1.1890 , 17.0320
